county state,relative mobility,absolute mobility,sample size,lat,long
Autauga AL,0.444,38.4,1846,32.500389,-86.494165
Baldwin AL,0.336,39.6,5061,30.548923,-87.762381
Barbour GA,0.398,36.1,1129,,
Bibb AL,0.434,39.1,841,33.030921,-87.127659
Blount AL,0.317,42,1224,33.955243,-86.591491
Bullock AL,0.365,34.2,514,32.116327,-85.701192
Butler AL,0.494,37.9,1051,31.773539,-86.65355
Calhoun GA,0.399,38.3,4985,31.527412,-84.668445
Calhoun GA,0.5,35.3,338,31.527412,-84.668445
Chambers GA,0.386,35.4,1489,,
Cherokee GA,0.404,37,683,34.169606,-84.496595
Cherokee GA,0.284,42.1,3943,34.169606,-84.496595
Chilton AL,0.363,40.3,1259,32.877547,-86.687406
Choctaw AL,0.337,40.5,687,32.016562,-88.264164
Clarke AL,0.387,39.9,1425,31.685685,-87.815673
Clay AL,0.356,40.9,540,33.272412,-85.820227
Cleburne GA,0.404,43.9,493,,
Coffee AL,0.394,41,1772,31.354433,-85.904715
Colbert AL,0.419,38.8,1986,34.723385,-87.685151
Conecuh AL,0.359,38.5,635,31.418674,-86.996483
Coosa AL,0.291,37.9,474,32.975932,-86.155035
Covington AL,0.417,43.4,1534,31.282449,-86.410955
Crenshaw AL,0.373,44,512,31.743487,-86.29708
Cullman AL,0.335,42.2,2753,34.162362,-86.831859
Dale AL,0.402,39.8,1946,31.383346,-85.641269
Dallas AL,0.413,35.5,2503,32.408815,-87.034955
De Kalb AL,0.352,42.4,2215,,
Elmore AL,0.376,39.1,2674,32.559652,-86.225647
Escambia AL,0.407,40.2,1506,31.088737,-87.282053
Etowah AL,0.395,39.3,3580,34.013693,-86.025393
Fayette AL,0.53,42.8,655,33.726422,-87.770355
Franklin AL,0.371,42.6,1170,34.460481,-87.793594
Geneva AL,0.486,38.6,962,31.09426,-85.788849
Greene AL,0.33,34.8,508,32.830505,-87.924
Hale AL,0.413,37.2,912,32.775804,-87.626084
Henry AL,0.37,37.7,666,31.478593,-85.268828
Houston AL,0.406,38.1,3647,31.20455,-85.391221
Jackson AL,0.385,42.1,2143,34.731984,-85.938698
Jefferson AL,0.407,36.2,26772,33.518601,-86.814688
Lamar AL,0.443,44.3,669,33.762769,-88.109649
Lauderdale AL,0.34,42.2,3182,34.866179,-87.608759
Lawrence AL,0.349,40.6,1064,34.543683,-87.272414
Lawrence AL,0.362,41.2,1685,34.543683,-87.272414
Lee AL,0.384,36.7,3272,32.588092,-85.345833
Limestone AL,0.377,38.9,2154,34.815612,-86.938972
Lowndes AL,0.349,34.7,639,32.162415,-86.618688
Macon AL,0.334,33.7,825,32.425739,-85.715007
Madison AL,0.373,37.1,9941,34.746392,-86.613232
Marengo AL,0.432,37.8,965,32.340479,-87.800648
Marion AL,0.392,43.2,1053,34.111797,-87.8743
Marshall AL,0.339,41.7,3336,34.311974,-86.293279
Mobile AL,0.399,37.4,16553,30.683993,-88.170637
Monroe AL,0.389,38.1,1095,31.505611,-87.360894
Montgomery AL,0.439,34.3,9031,32.346175,-86.243797
