county_state,absolute,latitude,longitude
Autauga AL,38.4,32.500389,-86.494165
Baldwin AL,39.6,30.548923,-87.762381
Barbour AL,36.1,31.844036,-85.310038
Bibb AL,39.1,33.030921,-87.127659
Blount AL,42.0,33.955243,-86.591491
Bullock AL,34.2,32.116327,-85.701192
Butler AL,37.9,31.773539,-86.65355
Calhoun GA,38.3,31.527412,-84.668445
Calhoun GA,35.3,31.527412,-84.668445
Calhoun GA,38.3,31.527412,-84.668445
Calhoun GA,35.3,31.527412,-84.668445
Chambers GA,35.4,,
Cherokee GA,37.0,34.169606,-84.496595
Cherokee GA,37.0,34.169606,-84.496595
Cherokee GA,42.1,34.169606,-84.496595
Cherokee AL,42.1,34.179333,-85.629194
Chilton AL,40.3,32.877547,-86.687406
Choctaw AL,40.5,32.016562,-88.264164
Clarke AL,39.9,31.685685,-87.815673
Clay AL,40.9,33.272412,-85.820227
Cleburne GA,43.9,,
Coffee AL,41.0,31.354433,-85.904715
Colbert AL,38.8,34.723385,-87.685151
Conecuh AL,38.5,31.418674,-86.996483
Coosa AL,37.9,32.975932,-86.155035
Covington AL,43.4,31.282449,-86.410955
Crenshaw AL,44.0,31.743487,-86.29708
Cullman AL,42.2,34.162362,-86.831859
Dale AL,39.8,31.383346,-85.641269
Dallas AL,35.5,32.408815,-87.034955
De Kalb AL,42.4,,
Elmore AL,39.1,32.559652,-86.225647
Escambia AL,40.2,31.088737,-87.282053
Etowah AL,39.3,34.013693,-86.025393
Fayette AL,42.8,33.726422,-87.770355
Franklin AL,42.6,34.460481,-87.793594
Geneva AL,38.6,31.09426,-85.788849
Greene AL,34.8,32.830505,-87.924
Hale AL,37.2,32.775804,-87.626084
Henry AL,37.7,31.478593,-85.268828
Houston AL,38.1,31.20455,-85.391221
Jackson AL,42.1,34.731984,-85.938698
Jefferson AL,36.2,33.518601,-86.814688
Lamar AL,44.3,33.762769,-88.109649
Lauderdale AL,42.2,34.866179,-87.608759
Lawrence AL,40.6,34.543683,-87.272414
Lawrence AL,41.2,34.543683,-87.272414
Lawrence AL,40.6,34.543683,-87.272414
Lawrence AL,41.2,34.543683,-87.272414
Lee AL,36.7,32.588092,-85.345833
Limestone AL,38.9,34.815612,-86.938972
Lowndes AL,34.7,32.162415,-86.618688
Macon AL,33.7,32.425739,-85.715007
Madison AL,37.1,34.746392,-86.613232
Marengo AL,37.8,32.340479,-87.800648
Marion AL,43.2,34.111797,-87.8743
Marshall AL,41.7,34.311974,-86.293279
Mobile AL,37.4,30.683993,-88.170637
Monroe AL,38.1,31.505611,-87.360894
Montgomery AL,34.3,32.346175,-86.243797
Morgan AL,38.8,34.514252,-86.930781
Perry AL,36.0,32.581066,-87.369219
Pickens MS,37.7,,
Pike AL,40.0,31.787277,-85.948647
Randolph GA,38.2,31.760403,-84.758026
Randolph GA,38.2,31.760403,-84.758026
Randolph GA,35.3,31.760403,-84.758026
Randolph AL,35.3,33.257607,-85.427266
Russell AL,35.7,32.421972,-85.062843
St Clair AL,40.8,,
Shelby AL,40.4,33.290719,-86.737978
Sumter AL,35.7,32.57442,-88.232646
Talladega AL,37.4,33.372083,-86.169238
Tallapoosa AL,38.0,32.85306,-85.864503
Tuscaloosa AL,37.3,33.214154,-87.520229
Walker AL,41.1,33.834858,-87.253922
Washington AL,43.1,31.410368,-88.18612
Wilcox AL,35.1,31.999753,-87.380407
Winston AL,41.1,34.163824,-87.415693
Aleutians East AK,,54.860151,-162.901536
Aleutians West AK,,54.023571,-168.292885
Anchorage AK,44.1,61.192232,-149.793182
Bethel AK,34.1,60.679946,-162.151263
Bristol Bay AK,,58.735464,-156.834047
Denali AK,,63.882845,-149.032949
Dillingham AK,,59.136256,-158.718472
Fairbanks North Star AK,45.0,64.831552,-147.624018
Haines AK,,59.264125,-135.559897
Juneau AK,41.7,58.358516,-134.530605
Kenai Peninsula AK,47.3,60.292592,-151.064475
Ketchikan Gateway AK,43.8,55.367858,-131.678527
Kodiak Island AK,45.7,57.779137,-152.460881
Lake and Peninsula AK,,58.557351,-156.371652
Matanuska Susitna AK,47.7,,
Nome AK,30.7,64.457026,-165.295491
North Slope AK,31.2,70.522779,-154.862085
Northwest Arctic AK,31.3,66.943735,-161.638185
Prince Wales Ketchikan AK,38.6,,
Sitka AK,38.0,57.062746,-135.337171
Skagway Hoonah Angoon AK,,,
Southeast Fairbanks AK,50.7,63.856185,-144.687024
Valdez Cordova AK,45.9,,
Wade Hampton AK,,62.089902,-164.314723
Wrangell Petersburg AK,44.2,,
Yakutat AK,,59.547975,-139.724878
Yukon Koyukuk AK,41.9,,
Apache AZ,34.6,35.577687,-109.41484
Cochise AZ,42.9,31.607357,-110.063053
Coconino AZ,39.5,35.514426,-111.590056
Gila AZ,38.2,33.82356,-111.007494
Graham AZ,44.7,32.86733,-109.812181
Greenlee AZ,44.4,32.970402,-109.248712
La Paz AZ,37.2,33.908361,-114.172146
Maricopa AZ,40.7,33.493403,-112.04143
Mohave AZ,40.4,35.069679,-114.249634
Navajo AZ,35.8,34.893625,-110.211155
Pima AZ,39.0,32.216707,-110.96001
Pinal AZ,36.1,33.060133,-111.588364
Santa Cruz AZ,43.0,31.434733,-110.943195
Yavapai AZ,43.2,34.629014,-112.267767
Yuma AZ,44.0,32.65004,-114.598663
Arkansas AR,39.8,34.405316,-91.461284
Ashley AR,38.6,33.179373,-91.87136
Baxter AR,43.5,36.332208,-92.383933
Benton AR,44.0,36.337348,-94.230543
Boone AR,44.8,36.267871,-93.099344
Bradley AR,40.7,33.569321,-92.103312
Calhoun AR,,33.591116,-92.495555
Carroll AR,44.4,36.373069,-93.570816
Chicot AR,35.1,33.32186,-91.318378
Clark AR,41.0,34.094705,-93.124856
Clay AR,42.3,36.370695,-90.372418
Cleburne AR,46.8,35.510232,-92.037481
Cleveland AR,40.2,33.914989,-92.139146
Columbia AR,39.6,33.258045,-93.247459
Conway AR,42.9,35.214487,-92.70416
Craighead AR,41.2,35.835235,-90.669325
Crawford AR,41.0,35.496882,-94.28436
Crittenden AR,33.5,35.17736,-90.217261
Cross AR,39.0,35.252833,-90.775307
Dallas AR,37.1,33.869213,-92.527123
Desha AR,36.4,33.773838,-91.417485
Drew AR,38.1,33.6274,-91.781779
Faulkner AR,43.3,35.104918,-92.405359
Franklin AR,45.4,35.446102,-93.885464
Fulton AR,44.8,36.376787,-91.764934
Garland AR,40.2,34.505811,-93.081852
Grant AR,43.4,34.309174,-92.412714
Greene AR,40.7,36.07312,-90.523016
Hempstead AR,37.8,33.699647,-93.623587
Hot Spring AR,39.7,34.353464,-92.894595
Howard AR,39.0,33.983198,-93.910184
Independence AR,44.3,35.749801,-91.607539
Izard AR,44.1,36.120217,-91.908429
Jackson AR,38.6,35.621102,-91.246233
Jefferson AR,35.7,34.233473,-92.041179
Johnson AR,43.5,35.475272,-93.475517
Lafayette AR,36.1,33.287629,-93.557538
Lawrence AR,43.2,36.070224,-91.065733
Lee AR,37.4,34.785214,-90.774516
Lincoln AR,38.4,33.975379,-91.746234
Little River TX,41.4,,
Logan AR,43.1,35.227532,-93.768119
Lonoke AR,39.9,34.905178,-91.970577
Madison AR,43.4,36.061309,-93.755297
Marion AR,44.1,36.28457,-92.663368
Miller TX,38.1,,
Mississippi AR,36.9,35.84288,-89.999037
Monroe AR,39.8,34.777729,-91.218021
Montgomery AR,,34.517013,-93.622663
Nevada AR,39.8,33.722168,-93.358085
Newton AR,42.9,35.98494,-93.1705
Ouachita AR,37.5,33.574461,-92.838871
Perry AR,44.0,34.999054,-92.779271
Phillips AR,35.0,34.529768,-90.707796
Pike AR,45.3,34.187298,-93.624765
Poinsett AR,38.0,35.60191,-90.557998
Polk AR,45.3,34.52045,-94.258519
Pope AR,41.4,35.309776,-93.097238
Prairie AR,40.5,34.859177,-91.536241
Pulaski AR,35.8,34.773719,-92.311659
Randolph AR,43.0,36.304758,-90.98842
St Francis AR,35.1,,
Saline AR,40.6,34.593233,-92.546163
Scott AR,42.7,34.907145,-94.095905
Searcy AR,46.9,35.922829,-92.659155
Sebastian AR,40.2,35.318195,-94.354435
Sevier OK,44.3,,
Sharp AR,43.7,36.178493,-91.520168
Stone AR,40.0,35.856705,-92.137
Union AR,37.4,33.20687,-92.64508
Van Buren AR,45.4,35.567839,-92.421475
Washington AR,42.8,36.094275,-94.172222
White AR,42.8,35.243736,-91.767388
Woodruff AR,37.6,35.233191,-91.252079
Yell AR,42.1,35.120982,-93.28946
Alameda CA,42.5,37.705201,-122.100393
Alpine CA,,38.728298,-119.847603
Amador CA,44.2,38.394208,-120.775729
Butte CA,41.3,39.669037,-121.707635
Calaveras CA,42.8,38.163627,-120.633718
Colusa CA,47.8,39.156148,-122.085557
Contra Costa CA,43.6,37.935588,-122.030131
Del Norte CA,38.6,41.791232,-124.163088
El Dorado CA,45.6,38.746543,-120.74433
Fresno CA,40.8,36.738918,-119.767884
Glenn CA,43.6,39.663418,-122.177491
Humboldt CA,38.9,40.752982,-124.087189
Imperial CA,44.0,32.841101,-115.534487
Inyo CA,43.7,37.160247,-118.267513
Kern CA,45.3,35.372968,-118.936004
Kings CA,42.2,36.242749,-119.729084
Lake CA,40.4,38.973362,-122.734609
Lassen CA,44.3,40.392397,-120.579176
Los Angeles CA,43.3,34.065193,-118.244222
Madera CA,41.7,37.043099,-120.00675
Marin CA,46.7,37.986705,-122.547075
Mariposa CA,45.1,37.542748,-119.957219
Mendocino CA,40.0,39.285329,-123.397227
Merced CA,42.0,37.281016,-120.623989
Modoc CA,46.7,41.522584,-120.650911
Mono CA,48.1,37.763322,-118.970594
Monterey CA,43.6,36.611722,-121.646162
Napa CA,47.3,38.329075,-122.321646
Nevada CA,44.2,39.219524,-120.916546
Orange CA,46.4,33.733953,-117.86288
Placer CA,45.4,38.844511,-121.182466
Plumas CA,44.0,39.983857,-120.825847
Riverside CA,41.8,33.800439,-117.066205
Sacramento CA,41.6,38.56895,-121.380861
San Benito CA,43.8,36.843404,-121.403859
San Bernardino CA,42.0,34.190248,-117.357474
San Diego CA,44.3,32.88326,-117.112994
San Francisco CA,47.8,37.759598,-122.438323
San Joaquin CA,42.6,37.931804,-121.298108
San Luis Obispo CA,45.1,35.342391,-120.667689
San Mateo CA,47.0,37.56395,-122.340991
Santa Barbara CA,44.4,34.639262,-120.092602
Santa Clara CA,45.6,37.315105,-121.910421
Santa Cruz CA,43.4,36.985171,-121.936728
Shasta CA,41.9,40.580269,-122.299961
Sierra CA,,39.612588,-120.414236
Siskiyou CA,44.5,41.576203,-122.489833
Solano CA,42.8,38.235582,-122.069324
Sonoma CA,43.6,38.41408,-122.720522
Stanislaus CA,42.2,37.619147,-120.955577
Sutter CA,44.6,39.13549,-121.644269
Tehama CA,41.4,40.115187,-122.218704
Trinity CA,42.5,40.681268,-123.072357
Tulare CA,42.1,36.251227,-119.231547
Tuolumne CA,44.8,37.971531,-120.32853
Ventura CA,44.5,34.241989,-119.025018
Yolo CA,44.3,38.598913,-121.721112
Yuba CA,42.4,39.13883,-121.506626
Adams CO,41.7,39.874297,-104.927473
Alamosa CO,44.1,37.483069,-105.877245
Arapahoe CO,44.0,39.647528,-104.845968
Archuleta NM,43.7,,
Baca CO,,37.368221,-102.527089
Bent CO,,38.072386,-103.1631
Boulder CO,46.8,40.063299,-105.183981
Chaffee CO,48.1,38.676497,-106.082645
Cheyenne CO,,38.816795,-102.45777
Clear Creek CO,,39.712957,-105.52965
